"State","CIP","Education level","Population size","ACS n-size","Coverage level","Median"
"PA","40","Bachelor's degree",3130,126,"100.0%",35856.604
"PA","37","Bachelor's degree",4415,178,"100.0%",52730.3
"PA","13","Bachelor's degree",3792,204,"100.0%",49497.105
"PA","25","Bachelor's degree",3599,150,"100.0%",64828.2
"PA","60","Bachelor's degree",18598,789,"100.0%",37570.715
"PA","48","Bachelor's degree",2036,80,"100.0%",42937.96
"PA","50","Bachelor's degree",7143,296,"100.0%",50507.25
"PA","34","Bachelor's degree",3479,128,"100.0%",33334.785
"PA","49","Bachelor's degree",1542,80,"100.0%",39195.176
"PA","26","Bachelor's degree",2158,85,"100.0%",39195.176
"PA","11","Bachelor's degree",2710,146,"100.0%",44293.452
"PA","64","Bachelor's degree",6372,276,"100.0%",42289.532
"PA","20","Bachelor's degree",1091,48,"100.0%",36911.21
"PA","54","Bachelor's degree",4465,146,"100.0%",37132.272
"PA","15","Bachelor's degree",1003,43,"100.0%",47457.27
"PA","59","Bachelor's degree",356,15,"100.0%",58345.38
"PA","51","Bachelor's degree",354,13,"100.0%",63747.73
"PA","29","Bachelor's degree",2087,94,"100.0%",31638.18
"PA","14","Bachelor's degree",2078,85,"100.0%",53672.45
"PA","32","Bachelor's degree",317,19,"100.0%",37965.816
"PA","22","Bachelor's degree",920,38,"100.0%",34274.695
"PA","57","Bachelor's degree",339,15,"100.0%",60608.7
"PA","35","Bachelor's degree",49,5,"100.0%",27273.915
"PA","All","Bachelor's degree",347478,14926,"100.0%",48305.205
"WA","52","Bachelor's degree",10469,446,"100.0%",42937.96
"WA","19","Bachelor's degree",13171,570,"100.0%",52604.052
"WA","24","Bachelor's degree",22997,984,"100.0%",86949.369
"WA","61","Bachelor's degree",13160,618,"100.0%",60608.7
"WA","41","Bachelor's degree",2886,133,"100.0%",42937.96
"WA","33","Bachelor's degree",6934,297,"100.0%",41057.86
"WA","56","Bachelor's degree",1376,62,"100.0%",72201.64
"WA","62","Bachelor's degree",43900,1866,"100.0%",60855.668
"WA","21","Bachelor's degree",16546,679,"100.0%",108302.46
"WA","53","Bachelor's degree",4264,191,"100.0%",49701.62
"WA","55","Bachelor's degree",20400,863,"100.0%",52730.3
"WA","36","Bachelor's degree",9521,425,"100.0%",45084.858
"WA","23","Bachelor's degree",10304,446,"100.0%",40226.628
"WA","40","Bachelor's degree",3371,145,"100.0%",46415.34
"WA","37","Bachelor's degree",3063,125,"100.0%",64828.2
"WA","13","Bachelor's degree",3893,162,"100.0%",46466.67
"WA","25","Bachelor's degree",2091,82,"100.0%",81582.124
"WA","60","Bachelor's degree",14785,640,"100.0%",40405.8
"WA","48","Bachelor's degree",1988,76,"100.0%",42937.96
"WA","50","Bachelor's degree",5236,210,"100.0%",56729.86
"WA","34","Bachelor's degree",2891,127,"100.0%",40039.6477
"WA","49","Bachelor's degree",1244,65,"100.0%",35655.51
"WA","26","Bachelor's degree",2298,108,"100.0%",43218.8
"WA","11","Bachelor's degree",1669,92,"100.0%",45379.74
"WA","64","Bachelor's degree",4055,191,"100.0%",51572.6
"WA","20","Bachelor's degree",1369,44,"100.0%",46415.34
"WA","54","Bachelor's degree",1899,87,"100.0%",39020.422
"WA","15","Bachelor's degree",1553,73,"100.0%",40791.062
"WA","59","Bachelor's degree",1117,57,"100.0%",60506.32
"WA","29","Bachelor's degree",1424,77,"100.0%",42184.24
"WA","14","Bachelor's degree",1655,71,"100.0%",58345.38
"WA","32","Bachelor's degree",136,7,"100.0%",36411.839
"WA","22","Bachelor's degree",103,5,"100.0%",30304.35
"WA","57","Bachelor's degree",58,3,"100.0%",805.08675
"WA","All","Bachelor's degree",231826,10027,"100.0%",54547.83
"NJ","52","Bachelor's degree",14353,693,"100.0%",42426.09
"NJ","19","Bachelor's degree",18234,941,"100.0%",53635.504
"NJ","24","Bachelor's degree",20659,975,"100.0%",77288.328
"NJ","61","Bachelor's degree",15770,710,"100.0%",60506.32
"NJ","41","Bachelor's degree",3242,175,"100.0%",51525.552
"NJ","33","Bachelor's degree",7682,375,"100.0%",48621.15
"NJ","56","Bachelor's degree",212,15,"100.0%",89641.51
"NJ","62","Bachelor's degree",68553,3330,"100.0%",61887.12
"NJ","21","Bachelor's degree",15278,694,"100.0%",73822.42
"NJ","53","Bachelor's degree",11902,539,"100.0%",49378.654
"NJ","55","Bachelor's degree",17619,841,"100.0%",59425.85
"NJ","36","Bachelor's degree",9608,453,"100.0%",49566.482
"NJ","23","Bachelor's degree",21049,1036,"100.0%",51572.6
"NJ","40","Bachelor's degree",1432,79,"100.0%",43320.984
"NJ","37","Bachelor's degree",2895,167,"100.0%",59039.695
"NJ","13","Bachelor's degree",1858,89,"100.0%",49461.0214
"NJ","25","Bachelor's degree",1886,87,"100.0%",72201.64
"NJ","60","Bachelor's degree",17422,838,"100.0%",43689.3743
"NJ","48","Bachelor's degree",1198,47,"100.0%",36365.22
"NJ","50","Bachelor's degree",5881,242,"100.0%",48621.15
"NJ","34","Bachelor's degree",2912,142,"100.0%",36100.82
"NJ","49","Bachelor's degree",933,43,"100.0%",40405.8
"NJ","26","Bachelor's degree",1691,76,"100.0%",47840.4672
"NJ","11","Bachelor's degree",874,46,"100.0%",56892.797
"NJ","64","Bachelor's degree",5256,278,"100.0%",52604.052
"NJ","20","Bachelor's degree",729,35,"100.0%",46415.34
"NJ","54","Bachelor's degree",2290,79,"100.0%",44293.452
"NJ","15","Bachelor's degree",775,35,"100.0%",47678.844
"NJ","59","Bachelor's degree",568,25,"100.0%",75141.43
"NJ","51","Bachelor's degree",106,4,"100.0%",52730.3
"NJ","29","Bachelor's degree",1461,76,"100.0%",42937.96
"NJ","14","Bachelor's degree",1680,80,"100.0%",55819.348
"NJ","32","Bachelor's degree",393,16,"100.0%",50452.103
"NJ","22","Bachelor's degree",647,33,"100.0%",37965.816
"NJ","57","Bachelor's degree",112,3,"100.0%",30304.35
"NJ","All","Bachelor's degree",277160,13297,"100.0%",55557.975
"NY","52","Bachelor's degree",36067,1579,"100.0%",46415.34
"NY","19","Bachelor's degree",54555,2298,"100.0%",58003.33
"NY","24","Bachelor's degree",31690,1434,"100.0%",73471.96
"NY","61","Bachelor's degree",37374,1607,"100.0%",60608.7
"NY","41","Bachelor's degree",6079,259,"100.0%",42184.24
"NY","33","Bachelor's degree",24377,1087,"100.0%",51862.56
"NY","56","Bachelor's degree",1237,59,"100.0%",53672.45
"NY","62","Bachelor's degree",163848,6883,"100.0%",64330.966
"NY","21","Bachelor's degree",27847,1241,"100.0%",64981.476
"NY","53","Bachelor's degree",20277,899,"100.0%",50782.09
"NY","55","Bachelor's degree",60640,2561,"100.0%",63276.36
"NY","36","Bachelor's degree",17952,873,"100.0%",51862.56
"NY","23","Bachelor's degree",21017,896,"100.0%",42937.96
"NY","40","Bachelor's degree",4771,224,"100.0%",58003.33
"NY","37","Bachelor's degree",7879,337,"100.0%",65659.425
"NY","13","Bachelor's degree",4643,243,"100.0%",44299.27
"NY","25","Bachelor's degree",3732,196,"100.0%",63276.36
"NY","60","Bachelor's degree",74290,3277,"100.0%",49039.179
"NY","48","Bachelor's degree",4904,216,"100.0%",49497.105
"NY","50","Bachelor's degree",11389,481,"100.0%",52730.3
"NY","34","Bachelor's degree",9863,393,"100.0%",51572.6
"NY","49","Bachelor's degree",1431,75,"100.0%",34350.368
"NY","26","Bachelor's degree",5037,240,"100.0%",51572.6
"NY","11","Bachelor's degree",1998,131,"100.0%",46460.21
"NY","64","Bachelor's degree",12586,563,"100.0%",51572.6
"NY","20","Bachelor's degree",2386,108,"100.0%",47962.518
"NY","54","Bachelor's degree",6552,279,"100.0%",38385.51
"NY","15","Bachelor's degree",3086,152,"100.0%",53672.45
"NY","59","Bachelor's degree",1902,82,"100.0%",61887.12
"NY","51","Bachelor's degree",51,2,"100.0%",64981.476
"NY","29","Bachelor's degree",2573,139,"100.0%",43218.8
"NY","14","Bachelor's degree",5980,270,"100.0%",61618.845
"NY","32","Bachelor's degree",2129,85,"100.0%",36911.21
"NY","22","Bachelor's degree",1629,79,"100.0%",47231.756
"NY","57","Bachelor's degree",211,10,"100.0%",44293.452
"NY","All","Bachelor's degree",671982,29258,"100.0%",56184.44
"CA","52","Bachelor's degree",54863,2446,"100.0%",43218.8
"CA","19","Bachelor's degree",86009,3903,"100.0%",52730.3
"CA","24","Bachelor's degree",92042,4259,"100.0%",83547.612
"CA","61","Bachelor's degree",70104,3065,"100.0%",62260.042
"CA","41","Bachelor's degree",19120,842,"100.0%",42184.24
"CA","33","Bachelor's degree",31247,1463,"100.0%",43320.984
"CA","56","Bachelor's degree",2871,145,"100.0%",82516.16
"CA","62","Bachelor's degree",234925,10341,"100.0%",59824.216
"CA","21","Bachelor's degree",56617,2503,"100.0%",85875.92
"CA","53","Bachelor's degree",26157,1101,"100.0%",49497.105
"CA","55","Bachelor's degree",112167,5108,"100.0%",54023.5
"CA","36","Bachelor's degree",47070,2198,"100.0%",51862.56
"CA","23","Bachelor's degree",27721,1176,"100.0%",42184.24
"CA","40","Bachelor's degree",12011,570,"100.0%",48305.205
"CA","37","Bachelor's degree",12095,569,"100.0%",64828.2
"CA","13","Bachelor's degree",10166,476,"100.0%",51572.6
"CA","25","Bachelor's degree",5778,276,"100.0%",75141.43
"CA","60","Bachelor's degree",101764,4719,"100.0%",45456.525
"CA","48","Bachelor's degree",7145,339,"100.0%",45769.9004
"CA","50","Bachelor's degree",19771,825,"100.0%",53672.45
"CA","34","Bachelor's degree",22187,933,"100.0%",43218.8
"CA","49","Bachelor's degree",2630,127,"100.0%",37965.816
"CA","26","Bachelor's degree",10474,507,"100.0%",41057.86
"CA","11","Bachelor's degree",9730,458,"100.0%",55557.975
"CA","64","Bachelor's degree",19240,863,"100.0%",50541.148
"CA","20","Bachelor's degree",6849,339,"100.0%",51366.3096
"CA","54","Bachelor's degree",9490,405,"100.0%",40405.8
"CA","15","Bachelor's degree",7246,344,"100.0%",46415.34
"CA","59","Bachelor's degree",2478,113,"100.0%",69774.185
"CA","51","Bachelor's degree",185,8,"100.0%",51572.6
"CA","29","Bachelor's degree",14590,674,"100.0%",36100.82
"CA","14","Bachelor's degree",10416,476,"100.0%",60608.7
"CA","32","Bachelor's degree",2067,92,"100.0%",54023.5
"CA","22","Bachelor's degree",1475,65,"100.0%",41057.86
"CA","57","Bachelor's degree",137,8,"100.0%",51572.6
"CA","35","Bachelor's degree",51,3,"100.0%",35355.075
"CA","All","Bachelor's degree",1148888,51739,"100.0%",54023.5
"MA","52","Bachelor's degree",13680,688,"100.0%",45137.1368
"MA","19","Bachelor's degree",15152,731,"100.0%",55698.408
"MA","24","Bachelor's degree",19230,889,"100.0%",78361.777
"MA","61","Bachelor's degree",15978,705,"100.0%",60608.7
"MA","41","Bachelor's degree",3997,189,"100.0%",47457.27
"MA","33","Bachelor's degree",8928,468,"100.0%",50524.199
"MA","56","Bachelor's degree",624,34,"100.0%",75760.875
"MA","62","Bachelor's degree",59428,2756,"100.0%",63276.36
"MA","21","Bachelor's degree",11879,527,"100.0%",80811.6
"MA","53","Bachelor's degree",9835,443,"100.0%",51572.6
"MA","55","Bachelor's degree",22046,1087,"100.0%",61586.79
"MA","36","Bachelor's degree",10288,506,"100.0%",51572.6
"MA","23","Bachelor's degree",6958,327,"100.0%",38896.92
"MA","40","Bachelor's degree",1552,85,"100.0%",48478.244
"MA","37","Bachelor's degree",2736,138,"100.0%",65659.425
"MA","13","Bachelor's degree",2310,129,"100.0%",48305.205
"MA","25","Bachelor's degree",1394,58,"100.0%",69774.185
"MA","60","Bachelor's degree",16534,780,"100.0%",46415.34
"MA","48","Bachelor's degree",1270,67,"100.0%",46402.664
"MA","50","Bachelor's degree",4071,192,"100.0%",61887.12
"MA","34","Bachelor's degree",2485,108,"100.0%",34575.04
"MA","49","Bachelor's degree",404,24,"100.0%",37570.715
"MA","26","Bachelor's degree",1967,100,"100.0%",47779.8585
"MA","11","Bachelor's degree",961,47,"100.0%",44446.38
"MA","64","Bachelor's degree",5507,238,"100.0%",51572.6
"MA","20","Bachelor's degree",659,35,"100.0%",54023.5
"MA","54","Bachelor's degree",1524,69,"100.0%",46415.34
"MA","15","Bachelor's degree",1229,55,"100.0%",42937.96
"MA","59","Bachelor's degree",462,24,"100.0%",66553.838
"MA","51","Bachelor's degree",78,3,"100.0%",82516.16
"MA","29","Bachelor's degree",816,43,"100.0%",45456.525
"MA","14","Bachelor's degree",2028,89,"100.0%",59824.216
"MA","32","Bachelor's degree",666,27,"100.0%",42937.96
"MA","22","Bachelor's degree",584,23,"100.0%",32181.3024
"MA","57","Bachelor's degree",142,7,"100.0%",53402.764
"MA","35","Bachelor's degree",18,1,"100.0%",37132.272
"MA","All","Bachelor's degree",247420,11692,"100.0%",57578.265
"MI","52","Bachelor's degree",7373,324,"100.0%",39020.422
"MI","19","Bachelor's degree",14160,591,"100.0%",43112.29328
"MI","24","Bachelor's degree",22837,1023,"100.0%",77793.84
"MI","61","Bachelor's degree",18839,854,"100.0%",50541.148
"MI","41","Bachelor's degree",5039,216,"100.0%",37570.715
"MI","33","Bachelor's degree",6004,256,"100.0%",33334.785
"MI","56","Bachelor's degree",873,49,"100.0%",60113.144
"MI","62","Bachelor's degree",51802,2289,"100.0%",51970.607
"MI","21","Bachelor's degree",8926,372,"100.0%",62260.042
"MI","53","Bachelor's degree",8217,357,"100.0%",47457.27
"MI","55","Bachelor's degree",9201,402,"100.0%",46415.34
"MI","36","Bachelor's degree",7795,343,"100.0%",40405.8
"MI","23","Bachelor's degree",14849,735,"100.0%",37570.715
"MI","40","Bachelor's degree",1818,75,"100.0%",46415.34
"MI","37","Bachelor's degree",1312,67,"100.0%",51322.325
"MI","13","Bachelor's degree",1906,97,"100.0%",42184.24
"MI","25","Bachelor's degree",2575,107,"100.0%",75141.43
"MI","60","Bachelor's degree",10584,496,"100.0%",34801.998
"MI","48","Bachelor's degree",903,35,"100.0%",36100.82
"MI","50","Bachelor's degree",4514,197,"100.0%",46402.664
"MI","34","Bachelor's degree",2236,92,"100.0%",29528.968
"MI","49","Bachelor's degree",1105,57,"100.0%",36365.22
"MI","26","Bachelor's degree",1486,70,"100.0%",39288.2334
"MI","11","Bachelor's degree",1022,73,"100.0%",43218.8
"MI","64","Bachelor's degree",2265,109,"100.0%",36100.82
"MI","20","Bachelor's degree",891,45,"100.0%",42937.96
"MI","54","Bachelor's degree",3509,150,"100.0%",35355.075
"MI","15","Bachelor's degree",527,25,"100.0%",48486.96
"MI","59","Bachelor's degree",1196,49,"100.0%",52730.3
"MI","51","Bachelor's degree",97,5,"100.0%",30304.35
"MI","29","Bachelor's degree",1651,74,"100.0%",34575.04
"MI","14","Bachelor's degree",989,49,"100.0%",45379.74
"MI","32","Bachelor's degree",326,17,"100.0%",41129.634
"MI","38","Bachelor's degree",24,1,"100.0%",105460.6
"MI","22","Bachelor's degree",361,13,"100.0%",33637.8285
"MI","57","Bachelor's degree",287,14,"100.0%",42937.96
"MI","All","Bachelor's degree",217499,9728,"100.0%",47457.27
"NC","52","Bachelor's degree",11875,538,"100.0%",36911.21
"NC","19","Bachelor's degree",14822,724,"100.0%",43320.984
"NC","24","Bachelor's degree",17449,799,"100.0%",71170.188
"NC","61","Bachelor's degree",17261,746,"100.0%",48305.205
"NC","41","Bachelor's degree",7000,321,"100.0%",40405.8
"NC","33","Bachelor's degree",6600,323,"100.0%",35355.075
"NC","56","Bachelor's degree",1724,94,"100.0%",61167.148
"NC","62","Bachelor's degree",52023,2426,"100.0%",51525.552
"NC","21","Bachelor's degree",11511,481,"100.0%",63276.36
"NC","53","Bachelor's degree",8993,392,"100.0%",40001.742
"NC","55","Bachelor's degree",15929,706,"100.0%",43436.235
"NC","36","Bachelor's degree",10806,470,"100.0%",41490.048
"NC","23","Bachelor's degree",23108,1094,"100.0%",37816.45
"NC","40","Bachelor's degree",2748,129,"100.0%",39020.422
"NC","37","Bachelor's degree",2453,116,"100.0%",43218.8
"NC","13","Bachelor's degree",1953,102,"100.0%",45379.74
"NC","25","Bachelor's degree",2238,106,"100.0%",61887.12
"NC","60","Bachelor's degree",13295,612,"100.0%",36911.21
"NC","48","Bachelor's degree",1678,79,"100.0%",32903.7072
"NC","50","Bachelor's degree",5363,221,"100.0%",42184.24
"NC","34","Bachelor's degree",1304,55,"100.0%",36497.266
"NC","49","Bachelor's degree",1394,64,"100.0%",36911.21
"NC","26","Bachelor's degree",1773,91,"100.0%",36911.21
"NC","11","Bachelor's degree",2047,111,"100.0%",41258.08
"NC","64","Bachelor's degree",6008,264,"100.0%",42184.24
